ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz,alt,gps_fix,lat,lon,speed,heading
218,0.9996,-0.0270,-0.0012,0.0024,0.25,-5.51,8.45,-0.0037,0.0073,-0.0024,243.32,-11.87,-31.96,1493.46,0,0.0,0.0,0.0,0.0
243,0.9986,-0.0517,-0.0024,0.0047,0.24,-5.51,8.44,-0.0049,0.0037,-0.0037,246.83,-11.39,-32.81,50.89,0,0.0,0.0,0.0,0.0
261,0.9972,-0.0743,-0.0036,0.0071,0.24,-5.50,8.40,-0.0134,0.0061,-0.0049,247.43,-11.40,-32.71,50.89,0,0.0,0.0,0.0,0.0
280,0.9954,-0.0949,-0.0050,0.0096,0.26,-5.50,8.40,-0.0086,0.0049,-0.0037,246.58,-11.52,-32.33,50.90,0,0.0,0.0,0.0,0.0
304,0.9934,-0.1135,-0.0063,0.0121,0.25,-5.50,8.41,-0.0159,0.0049,-0.0037,246.32,-11.88,-32.70,50.90,0,0.0,0.0,0.0,0.0
323,0.9913,-0.1302,-0.0076,0.0146,0.26,-5.50,8.44,-0.0061,0.0049,-0.0024,246.43,-11.91,-33.03,50.90,0,0.0,0.0,0.0,0.0
341,0.9892,-0.1454,-0.0088,0.0169,0.25,-5.51,8.45,0.0000,0.0073,-0.0024,246.49,-11.58,-32.97,50.88,0,0.0,0.0,0.0,0.0
365,0.9870,-0.1591,-0.0101,0.0192,0.26,-5.50,8.41,-0.0073,0.0061,-0.0037,246.45,-12.25,-31.72,50.93,0,0.0,0.0,0.0,0.0
384,0.9849,-0.1716,-0.0112,0.0215,0.24,-5.51,8.40,-0.0134,0.0061,-0.0037,246.26,-12.51,-32.62,50.93,0,0.0,0.0,0.0,0.0
402,0.9828,-0.1828,-0.0124,0.0236,0.25,-5.52,8.45,-0.0061,0.0049,-0.0037,246.55,-12.17,-33.10,50.96,0,0.0,0.0,0.0,0.0
426,0.9808,-0.1929,-0.0136,0.0255,0.26,-5.50,8.40,-0.0086,0.0049,-0.0037,246.43,-12.04,-32.11,50.93,0,0.0,0.0,0.0,0.0
444,0.9789,-0.2020,-0.0146,0.0273,0.25,-5.50,8.43,-0.0110,0.0049,-0.0049,247.06,-11.93,-32.53,50.93,0,0.0,0.0,0.0,0.0
463,0.9771,-0.2101,-0.0156,0.0290,0.24,-5.51,8.46,-0.0024,0.0049,-0.0024,246.68,-12.01,-32.13,50.91,0,0.0,0.0,0.0,0.0
487,0.9754,-0.2175,-0.0165,0.0307,0.25,-5.51,8.43,-0.0061,0.0049,-0.0037,246.59,-12.34,-32.36,50.95,0,0.0,0.0,0.0,0.0
505,0.9739,-0.2242,-0.0173,0.0320,0.25,-5.51,8.42,-0.0098,0.0061,-0.0037,247.19,-11.44,-31.69,50.95,0,0.0,0.0,0.0,0.0
524,0.9724,-0.2302,-0.0182,0.0334,0.25,-5.51,8.42,-0.0061,0.0049,-0.0037,247.11,-12.09,-31.63,50.97,0,0.0,0.0,0.0,0.0
548,0.9711,-0.2356,-0.0189,0.0346,0.25,-5.52,8.45,-0.0098,0.0073,-0.0037,247.63,-11.59,-32.80,51.05,0,0.0,0.0,0.0,0.0
566,0.9698,-0.2404,-0.0197,0.0356,0.27,-5.51,8.43,-0.0012,0.0024,-0.0037,247.71,-11.41,-31.92,51.05,0,0.0,0.0,0.0,0.0
585,0.9687,-0.2448,-0.0202,0.0368,0.23,-5.51,8.43,-0.0073,0.0098,-0.0012,247.60,-11.87,-32.18,51.12,0,0.0,0.0,0.0,0.0
608,0.9676,-0.2487,-0.0209,0.0378,0.26,-5.51,8.45,-0.0086,0.0024,-0.0049,246.84,-12.09,-32.34,51.07,0,0.0,0.0,0.0,0.0
627,0.9666,-0.2522,-0.0215,0.0389,0.24,-5.51,8.43,-0.0037,0.0073,-0.0024,247.38,-12.50,-32.87,51.07,0,0.0,0.0,0.0,0.0
645,0.9658,-0.2554,-0.0219,0.0396,0.24,-5.50,8.43,-0.0110,0.0049,-0.0037,246.89,-11.17,-31.80,51.10,0,0.0,0.0,0.0,0.0
669,0.9650,-0.2583,-0.0223,0.0404,0.24,-5.53,8.45,-0.0024,0.0061,-0.0024,246.58,-11.25,-32.42,51.18,0,0.0,0.0,0.0,0.0
688,0.9642,-0.2610,-0.0228,0.0410,0.26,-5.52,8.44,-0.0122,0.0049,-0.0049,247.03,-11.40,-32.30,51.18,0,0.0,0.0,0.0,0.0
706,0.9636,-0.2632,-0.0232,0.0418,0.24,-5.49,8.43,0.0024,0.0086,-0.0012,246.24,-12.19,-31.88,51.18,0,0.0,0.0,0.0,0.0
730,0.9629,-0.2654,-0.0235,0.0423,0.25,-5.51,8.41,-0.0037,0.0049,-0.0037,246.87,-11.85,-31.41,51.16,0,0.0,0.0,0.0,0.0
748,0.9623,-0.2674,-0.0239,0.0429,0.25,-5.52,8.42,-0.0159,0.0061,-0.0037,246.80,-11.55,-32.55,51.16,0,0.0,0.0,0.0,0.0
767,0.9618,-0.2691,-0.0242,0.0435,0.24,-5.50,8.42,-0.0086,0.0037,-0.0037,247.24,-11.68,-32.86,51.14,0,0.0,0.0,0.0,0.0
791,0.9614,-0.2706,-0.0244,0.0440,0.24,-5.51,8.43,-0.0061,0.0073,-0.0024,247.08,-11.98,-32.08,51.08,0,0.0,0.0,0.0,0.0
809,0.9609,-0.2720,-0.0247,0.0445,0.25,-5.52,8.43,-0.0037,0.0049,-0.0037,246.84,-12.39,-32.27,51.08,0,0.0,0.0,0.0,0.0
828,0.9606,-0.2732,-0.0249,0.0450,0.24,-5.50,8.44,-0.0110,0.0073,-0.0024,246.42,-12.38,-32.17,51.06,0,0.0,0.0,0.0,0.0
855,0.9602,-0.2744,-0.0251,0.0454,0.25,-5.51,8.41,-0.0073,0.0049,-0.0037,246.89,-11.96,-31.77,51.03,0,0.0,0.0,0.0,0.0
879,0.9599,-0.2754,-0.0253,0.0458,0.24,-5.52,8.43,-0.0098,0.0061,-0.0037,246.78,-12.48,-31.94,50.99,0,0.0,0.0,0.0,0.0
897,0.9596,-0.2763,-0.0255,0.0462,0.25,-5.51,8.44,-0.0049,0.0049,-0.0037,246.95,-12.07,-32.65,50.99,0,0.0,0.0,0.0,0.0
916,0.9594,-0.2771,-0.0257,0.0465,0.24,-5.50,8.45,-0.0037,0.0061,-0.0024,247.09,-12.29,-31.70,51.03,0,0.0,0.0,0.0,0.0
940,0.9592,-0.2778,-0.0257,0.0467,0.24,-5.51,8.44,-0.0061,0.0061,-0.0037,247.33,-12.20,-31.19,51.09,0,0.0,0.0,0.0,0.0
958,0.9589,-0.2785,-0.0259,0.0469,0.25,-5.51,8.42,-0.0061,0.0049,-0.0049,247.00,-12.01,-31.61,51.09,0,0.0,0.0,0.0,0.0
976,0.9588,-0.2791,-0.0261,0.0470,0.26,-5.50,8.42,-0.0049,0.0049,-0.0037,245.64,-12.26,-30.85,51.11,0,0.0,0.0,0.0,0.0
1000,0.9586,-0.2796,-0.0261,0.0472,0.24,-5.52,8.46,-0.0073,0.0061,-0.0037,246.84,-12.25,-30.81,51.16,0,0.0,0.0,0.0,0.0
1019,0.9585,-0.2800,-0.0263,0.0474,0.25,-5.51,8.44,-0.0012,0.0037,-0.0037,246.61,-12.03,-32.56,51.16,0,0.0,0.0,0.0,0.0
1037,0.9583,-0.2806,-0.0264,0.0475,0.25,-5.51,8.40,-0.0134,0.0073,-0.0037,246.81,-12.19,-30.96,51.08,0,0.0,0.0,0.0,0.0
1061,0.9582,-0.2809,-0.0265,0.0478,0.24,-5.51,8.46,-0.0061,0.0061,-0.0037,243.45,-12.29,-32.10,51.09,0,0.0,0.0,0.0,0.0
1079,0.9581,-0.2812,-0.0266,0.0479,0.25,-5.51,8.43,-0.0024,0.0049,-0.0024,247.38,-12.10,-31.89,51.09,0,0.0,0.0,0.0,0.0
1098,0.9580,-0.2816,-0.0267,0.0480,0.26,-5.52,8.45,-0.0024,0.0049,-0.0037,247.03,-11.49,-31.88,51.08,0,0.0,0.0,0.0,0.0
1122,0.9579,-0.2819,-0.0267,0.0480,0.25,-5.52,8.41,-0.0086,0.0037,-0.0037,246.99,-12.09,-31.04,51.13,0,0.0,0.0,0.0,0.0
1140,0.9578,-0.2822,-0.0268,0.0481,0.25,-5.51,8.44,-0.0037,0.0073,-0.0012,247.15,-12.45,-31.35,51.13,0,0.0,0.0,0.0,0.0
1158,0.9577,-0.2824,-0.0268,0.0481,0.25,-5.50,8.42,-0.0098,0.0061,-0.0037,247.69,-11.87,-31.20,51.10,0,0.0,0.0,0.0,0.0
1183,0.9576,-0.2826,-0.0268,0.0482,0.24,-5.52,8.45,-0.0037,0.0073,-0.0024,247.27,-11.84,-32.26,51.16,0,0.0,0.0,0.0,0.0
1201,0.9576,-0.2828,-0.0269,0.0483,0.25,-5.52,8.43,-0.0049,0.0049,-0.0024,246.64,-12.06,-31.29,51.16,0,0.0,0.0,0.0,0.0
1219,0.9575,-0.2830,-0.0270,0.0484,0.26,-5.49,8.39,-0.0098,0.0061,-0.0024,247.15,-12.38,-31.39,51.13,0,0.0,0.0,0.0,0.0
1243,0.9574,-0.2833,-0.0271,0.0485,0.26,-5.50,8.40,-0.0134,0.0037,-0.0049,246.93,-12.03,-32.80,51.13,0,0.0,0.0,0.0,0.0
1262,0.9574,-0.2834,-0.0272,0.0486,0.26,-5.53,8.45,-0.0073,0.0061,-0.0037,247.22,-12.35,-32.01,51.13,0,0.0,0.0,0.0,0.0
1280,0.9574,-0.2835,-0.0272,0.0487,0.24,-5.52,8.46,-0.0012,0.0061,-0.0024,246.68,-11.79,-31.88,51.19,0,0.0,0.0,0.0,0.0
1304,0.9573,-0.2835,-0.0272,0.0487,0.25,-5.50,8.42,-0.0024,0.0049,-0.0037,246.45,-11.60,-32.27,51.20,0,0.0,0.0,0.0,0.0
