ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz,alt,gps_fix,lat,lon,speed,heading
0,0.957,0.0137,0.0047,-0.2897,-0.72,0.07,9.85,-0.0078,0.0331,-0.0246,-27.72,-41.61,30,112.94,1,49.025503,8.356771,13.59,123.67
100,0.957,0.0137,0.0049,-0.2899,-0.66,0.04,9.74,-0.0083,0.0347,-0.0261,-27.74,-41.6,30,112.94,1,49.025499,8.356779,13.58,123.69
200,0.9569,0.0138,0.0051,-0.2901,-0.71,0.08,9.73,-0.007,0.0358,-0.0281,-27.75,-41.59,30,112.94,1,49.025496,8.356786,13.57,123.72
300,0.9568,0.0138,0.0053,-0.2902,-0.79,0.2,9.73,-0.007,0.0351,-0.0292,-27.77,-41.58,30,112.94,1,49.025492,8.356794,13.56,123.74
400,0.9568,0.0137,0.0054,-0.2905,-0.81,0.25,9.76,-0.0083,0.0326,-0.0317,-27.79,-41.57,30,112.94,1,49.025489,8.356802,13.54,123.76
500,0.9567,0.0136,0.0055,-0.2906,-0.72,0.14,9.84,-0.0109,0.0295,-0.0329,-27.8,-41.56,30,112.94,1,49.025485,8.35681,13.53,123.78
600,0.9567,0.0136,0.0057,-0.2908,-0.75,0.1,9.83,-0.0111,0.0322,-0.0337,-27.82,-41.55,30,112.95,1,49.025482,8.356818,13.52,123.81
700,0.9566,0.0136,0.006,-0.2911,-0.92,0.07,9.89,-0.0118,0.0352,-0.0363,-27.84,-41.53,30,112.95,1,49.025478,8.356826,13.51,123.83
800,0.9565,0.0136,0.0061,-0.2913,-0.98,0.15,9.85,-0.0117,0.0318,-0.0388,-27.86,-41.52,30,112.95,1,49.025475,8.356834,13.49,123.87
900,0.9564,0.0135,0.0062,-0.2916,-0.92,0.22,9.82,-0.0147,0.0292,-0.0404,-27.88,-41.5,30,112.95,1,49.025471,8.356842,13.48,123.89
1000,0.9564,0.0134,0.0064,-0.2918,-0.91,0.25,9.81,-0.0169,0.0294,-0.0411,-27.9,-41.49,30,112.95,1,49.025468,8.35685,13.46,123.92
1100,0.9563,0.0132,0.0065,-0.292,-0.88,0.21,9.88,-0.0194,0.0254,-0.0435,-27.92,-41.48,30,112.95,1,49.025464,8.356858,13.45,123.95
1200,0.9562,0.0131,0.0067,-0.2923,-0.81,0.23,9.85,-0.0219,0.0281,-0.0462,-27.95,-41.46,30,112.95,1,49.025461,8.356866,13.44,123.99
1300,0.9561,0.013,0.0073,-0.2926,-0.88,0.35,9.43,-0.0261,0.0378,-0.0486,-27.97,-41.44,30,112.95,1,49.025457,8.356873,13.42,124.02
1400,0.9561,0.0126,0.0074,-0.2928,-0.88,-0.05,9.2,-0.0354,0.0315,-0.0481,-27.99,-41.43,30,112.95,1,49.025454,8.356881,13.41,124.05
1500,0.956,0.0124,0.0071,-0.2931,-0.7,-0.48,9.28,-0.0332,0.0186,-0.048,-28.01,-41.42,30,112.95,1,49.02545,8.356889,13.4,124.07
1600,0.9559,0.0127,0.0073,-0.2934,-0.71,-0.56,9.44,-0.0211,0.0212,-0.0506,-28.04,-41.4,30,112.95,1,49.025447,8.356897,13.39,124.11
1700,0.9558,0.0131,0.0074,-0.2937,-1.05,-0.17,9.4,-0.0066,0.0259,-0.0527,-28.07,-41.38,30,112.95,1,49.025443,8.356905,13.37,124.15
1800,0.9557,0.0132,0.0072,-0.294,-1.22,0.17,9.46,-0.0023,0.0161,-0.0547,-28.09,-41.36,30,112.95,1,49.02544,8.356913,13.35,124.19
1900,0.9556,0.013,0.0072,-0.2943,-1.24,0.15,9.44,-0.0057,0.0136,-0.0564,-28.12,-41.34,30,112.95,1,49.025436,8.35692,13.33,124.22
2000,0.9555,0.0129,0.0074,-0.2946,-1.2,-0.16,9.27,-0.0108,0.0161,-0.057,-28.15,-41.32,30,112.95,1,49.025433,8.356928,13.32,124.26
2100,0.9554,0.0127,0.0073,-0.2949,-1.09,-0.43,9.26,-0.0131,0.0073,-0.0563,-28.17,-41.31,30,112.95,1,49.025429,8.356936,13.3,124.29
2200,0.9553,0.0126,0.0071,-0.2951,-0.98,-0.65,9.34,-0.0125,0.0016,-0.056,-28.19,-41.29,30,112.95,1,49.025426,8.356944,13.28,124.32
2300,0.9553,0.0128,0.007,-0.2954,-0.93,-0.63,9.4,-0.0056,-0.002,-0.0572,-28.22,-41.28,30,112.95,1,49.025423,8.356952,13.27,124.36
2400,0.9552,0.0129,0.0069,-0.2957,-0.96,-0.34,9.43,0.0,-0.0043,-0.0565,-28.24,-41.26,30,112.95,1,49.025419,8.356959,13.25,124.39
2500,0.9551,0.013,0.0069,-0.296,-1.01,-0.06,9.4,0.0022,-0.0028,-0.0576,-28.27,-41.24,30,112.95,1,49.025416,8.356967,13.24,124.43
2600,0.955,0.0129,0.0069,-0.2963,-1.09,-0.09,9.32,-0.0011,-0.0018,-0.0587,-28.29,-41.22,30,112.95,1,49.025412,8.356975,13.22,124.46
2700,0.9549,0.0127,0.0067,-0.2966,-1.03,-0.55,9.43,-0.0043,-0.0088,-0.0588,-28.32,-41.21,30,112.95,1,49.025409,8.356982,13.21,124.5
2800,0.9548,0.0129,0.0066,-0.2969,-0.92,-0.74,9.5,0.0037,-0.0106,-0.0599,-28.35,-41.19,30,112.95,1,49.025405,8.35699,13.19,124.54
2900,0.9547,0.0132,0.0067,-0.2972,-1.16,-0.41,9.36,0.0125,-0.0024,-0.061,-28.37,-41.17,30,112.95,1,49.025402,8.356998,13.17,124.58
3000,0.9546,0.0132,0.0065,-0.2975,-1.36,-0.14,9.31,0.0117,-0.008,-0.0604,-28.4,-41.15,30,112.95,1,49.025398,8.357005,13.15,124.61
3100,0.9545,0.0129,0.0061,-0.2978,-1.17,-0.2,9.63,0.0053,-0.0218,-0.0605,-28.42,-41.13,30,112.95,1,49.025395,8.357013,13.13,124.65
3200,0.9544,0.0129,0.0062,-0.2981,-1.08,-0.21,9.76,0.0026,-0.0164,-0.0597,-28.45,-41.12,30,112.95,1,49.025391,8.357021,13.12,124.68
3300,0.9543,0.0128,0.0064,-0.2985,-1.23,-0.18,9.56,-0.0015,-0.0091,-0.0624,-28.48,-41.1,30,112.95,1,49.025388,8.357028,13.1,124.72
3400,0.9542,0.0126,0.006,-0.2988,-1.28,-0.11,9.53,-0.0039,-0.0185,-0.0625,-28.51,-41.08,30,112.95,1,49.025384,8.357036,13.07,124.76
3500,0.9541,0.0123,0.0058,-0.2991,-1.2,-0.34,9.62,-0.0096,-0.0269,-0.0631,-28.53,-41.06,30,112.95,1,49.025381,8.357043,13.05,124.8
3600,0.954,0.0124,0.0057,-0.2994,-1.15,-0.44,9.72,-0.0062,-0.0252,-0.0628,-28.56,-41.04,30,112.95,1,49.025377,8.357051,13.04,124.83
3700,0.9539,0.0124,0.0054,-0.2997,-1.09,-0.43,9.87,-0.0021,-0.03,-0.0625,-28.59,-41.02,30,112.95,1,49.025374,8.357058,13.02,124.87
