ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz,alt,gps_fix,lat,lon,speed,heading
0,0.4137,-0.0023,-0.0145,-0.9103,-0.3,0.34,9.96,-0.0102,0.0034,0.0167,-37.66,32.89,30,114.65,1,49.024628,8.356415,12.01,221.14
100,0.4137,-0.0023,-0.0144,-0.9103,-0.31,0.27,10.04,-0.0113,0.0034,0.0169,-37.66,32.89,30,114.66,1,49.024624,8.356409,12.0,221.13
200,0.4138,-0.0023,-0.0144,-0.9102,-0.3,0.25,10.09,-0.0099,0.0042,0.0176,-37.67,32.88,30,114.66,1,49.02462,8.356404,11.99,221.11
300,0.4139,-0.0021,-0.0143,-0.9102,-0.27,0.28,10.03,-0.0087,0.0077,0.0175,-37.68,32.87,30,114.66,1,49.024615,8.356398,11.99,221.1
400,0.414,-0.0021,-0.0142,-0.9102,-0.28,0.31,10.01,-0.0092,0.0094,0.0184,-37.68,32.86,30,114.66,1,49.024611,8.356393,11.98,221.09
500,0.4141,-0.0021,-0.0141,-0.9101,-0.3,0.29,10.0,-0.0099,0.0101,0.019,-37.69,32.85,30,114.66,1,49.024607,8.356387,11.97,221.07
600,0.4142,-0.002,-0.0141,-0.9101,-0.28,0.26,9.96,-0.0084,0.0114,0.0187,-37.7,32.85,30,114.67,1,49.024603,8.356382,11.96,221.06
700,0.4143,-0.0019,-0.014,-0.91,-0.29,0.28,9.91,-0.007,0.0116,0.0189,-37.7,32.84,30,114.67,1,49.024599,8.356376,11.95,221.05
800,0.4144,-0.0019,-0.014,-0.91,-0.31,0.29,9.88,-0.0067,0.0121,0.0181,-37.71,32.83,30,114.67,1,49.024594,8.356371,11.94,221.04
900,0.4145,-0.0018,-0.014,-0.9099,-0.32,0.29,9.89,-0.006,0.012,0.0188,-37.72,32.82,30,114.67,1,49.02459,8.356365,11.93,221.03
1000,0.4146,-0.0017,-0.0139,-0.9099,-0.33,0.32,9.87,-0.0051,0.0122,0.0189,-37.72,32.82,30,114.67,1,49.024586,8.35636,11.92,221.02
1100,0.4147,-0.0017,-0.0139,-0.9099,-0.34,0.35,9.84,-0.0047,0.0129,0.0187,-37.73,32.81,30,114.68,1,49.024582,8.356354,11.91,221.01
1200,0.4148,-0.0017,-0.0138,-0.9098,-0.33,0.35,9.84,-0.0049,0.012,0.0189,-37.74,32.8,30,114.68,1,49.024578,8.356349,11.91,221.0
1300,0.4148,-0.0017,-0.0138,-0.9098,-0.32,0.33,9.85,-0.0054,0.0109,0.0192,-37.74,32.79,30,114.68,1,49.024574,8.356343,11.9,220.99
1400,0.415,-0.0016,-0.0137,-0.9097,-0.34,0.33,9.82,-0.005,0.0127,0.0207,-37.75,32.78,30,114.68,1,49.024569,8.356338,11.89,220.97
1500,0.4151,-0.0015,-0.0137,-0.9097,-0.36,0.3,9.82,-0.0048,0.0116,0.0198,-37.76,32.78,30,114.68,1,49.024565,8.356332,11.88,220.96
1600,0.4152,-0.0015,-0.0137,-0.9096,-0.37,0.32,9.86,-0.0039,0.0103,0.0205,-37.77,32.77,30,114.68,1,49.024561,8.356327,11.87,220.94
1700,0.4153,-0.0014,-0.0137,-0.9096,-0.38,0.37,9.82,-0.0027,0.0114,0.0201,-37.77,32.76,30,114.69,1,49.024557,8.356321,11.86,220.93
1800,0.4154,-0.0014,-0.0136,-0.9096,-0.37,0.39,9.78,-0.0039,0.0108,0.0206,-37.78,32.75,30,114.69,1,49.024553,8.356316,11.85,220.92
1900,0.4155,-0.0015,-0.0136,-0.9095,-0.36,0.37,9.8,-0.0048,0.0086,0.0208,-37.79,32.74,30,114.69,1,49.024549,8.35631,11.84,220.91
2000,0.4156,-0.0014,-0.0135,-0.9095,-0.35,0.36,9.78,-0.0046,0.0095,0.0206,-37.8,32.73,30,114.69,1,49.024544,8.356305,11.83,220.89
2100,0.4157,-0.0014,-0.0135,-0.9094,-0.35,0.37,9.76,-0.0053,0.0089,0.0213,-37.8,32.72,30,114.69,1,49.02454,8.356299,11.82,220.88
2200,0.4158,-0.0014,-0.0135,-0.9094,-0.34,0.4,9.76,-0.0053,0.0076,0.0214,-37.81,32.72,30,114.7,1,49.024536,8.356294,11.81,220.87
2300,0.4159,-0.0014,-0.0134,-0.9093,-0.34,0.42,9.75,-0.0062,0.0087,0.0225,-37.82,32.7,30,114.7,1,49.024532,8.356288,11.8,220.85
2400,0.416,-0.0014,-0.0133,-0.9093,-0.35,0.44,9.71,-0.0079,0.0083,0.0219,-37.83,32.7,30,114.7,1,49.024528,8.356283,11.79,220.84
2500,0.4161,-0.0014,-0.0132,-0.9092,-0.34,0.45,9.69,-0.0095,0.007,0.0226,-37.84,32.69,30,114.7,1,49.024524,8.356278,11.78,220.82
2600,0.4162,-0.0015,-0.0131,-0.9092,-0.32,0.45,9.7,-0.011,0.0069,0.0226,-37.84,32.68,30,114.7,1,49.02452,8.356272,11.77,220.81
2700,0.4163,-0.0015,-0.013,-0.9091,-0.33,0.45,9.71,-0.0118,0.0064,0.0232,-37.85,32.67,30,114.7,1,49.024515,8.356267,11.76,220.8
2800,0.4165,-0.0015,-0.0129,-0.9091,-0.34,0.46,9.75,-0.0132,0.0056,0.0235,-37.86,32.66,30,114.7,1,49.024511,8.356261,11.76,220.78
2900,0.4166,-0.0015,-0.0128,-0.909,-0.32,0.49,9.75,-0.0135,0.0066,0.0249,-37.87,32.65,30,114.7,1,49.024507,8.356256,11.75,220.76
3000,0.4167,-0.0015,-0.0127,-0.9089,-0.3,0.5,9.73,-0.0146,0.0077,0.025,-37.88,32.64,30,114.7,1,49.024503,8.356251,11.74,220.75
3100,0.4168,-0.0015,-0.0126,-0.9089,-0.3,0.49,9.72,-0.0148,0.0075,0.0252,-37.89,32.63,30,114.71,1,49.024499,8.356245,11.73,220.73
3200,0.4169,-0.0015,-0.0125,-0.9088,-0.29,0.46,9.72,-0.0155,0.0072,0.0247,-37.9,32.62,30,114.7,1,49.024495,8.35624,11.72,220.72
3300,0.4171,-0.0015,-0.0125,-0.9088,-0.29,0.44,9.71,-0.0149,0.008,0.025,-37.9,32.61,30,114.71,1,49.024491,8.356234,11.71,220.7
3400,0.4172,-0.0015,-0.0124,-0.9087,-0.29,0.46,9.7,-0.0141,0.0078,0.0249,-37.91,32.6,30,114.71,1,49.024487,8.356229,11.7,220.69
3500,0.4173,-0.0014,-0.0123,-0.9087,-0.3,0.46,9.68,-0.0132,0.0088,0.0253,-37.92,32.59,30,114.71,1,49.024482,8.356224,11.7,220.68
3600,0.4174,-0.0014,-0.0123,-0.9086,-0.31,0.43,9.67,-0.0136,0.0087,0.0251,-37.93,32.58,30,114.71,1,49.024478,8.356218,11.69,220.66
3700,0.4175,-0.0014,-0.0122,-0.9086,-0.3,0.41,9.68,-0.013,0.0074,0.0246,-37.94,32.57,30,114.71,1,49.024474,8.356213,11.68,220.65
3800,0.4176,-0.0014,-0.0121,-0.9085,-0.3,0.39,9.66,-0.0128,0.0081,0.0242,-37.94,32.56,30,114.71,1,49.02447,8.356208,11.67,220.64
3900,0.4178,-0.0014,-0.0121,-0.9085,-0.29,0.37,9.65,-0.0112,0.0083,0.0253,-37.95,32.55,30,114.71,1,49.024466,8.356202,11.66,220.62
4000,0.4179,-0.0014,-0.0121,-0.9084,-0.29,0.34,9.66,-0.0105,0.0073,0.0251,-37.96,32.54,30,114.71,1,49.024462,8.356197,11.65,220.6
4100,0.418,-0.0013,-0.0121,-0.9084,-0.3,0.31,9.67,-0.0088,0.0076,0.0252,-37.97,32.53,30,114.71,1,49.024458,8.356192,11.64,220.59
4200,0.4181,-0.0013,-0.0121,-0.9083,-0.32,0.31,9.67,-0.0076,0.0071,0.0259,-37.98,32.52,30,114.71,1,49.024454,8.356186,11.63,220.57
4300,0.4182,-0.0013,-0.012,-0.9083,-0.32,0.33,9.65,-0.0073,0.0068,0.0261,-37.99,32.51,30,114.71,1,49.02445,8.356181,11.63,220.56
4400,0.4184,-0.0013,-0.012,-0.9082,-0.33,0.31,9.64,-0.0084,0.0068,0.0266,-38.0,32.5,30,114.71,1,49.024445,8.356176,11.62,220.54
4500,0.4185,-0.0013,-0.0119,-0.9081,-0.31,0.27,9.64,-0.0089,0.0065,0.0271,-38.01,32.49,30,114.71,1,49.024441,8.35617,11.61,220.52
4600,0.4187,-0.0013,-0.0118,-0.9081,-0.3,0.27,9.62,-0.0092,0.0057,0.0281,-38.02,32.47,30,114.72,1,49.024437,8.356165,11.6,220.5
4700,0.4188,-0.0013,-0.0118,-0.908,-0.3,0.26,9.6,-0.0089,0.0063,0.0274,-38.03,32.47,30,114.71,1,49.024433,8.35616,11.59,220.49
4800,0.4189,-0.0014,-0.0118,-0.908,-0.32,0.27,9.61,-0.0092,0.005,0.0279,-38.04,32.45,30,114.72,1,49.024429,8.356154,11.58,220.47
4900,0.419,-0.0014,-0.0117,-0.9079,-0.33,0.31,9.64,-0.0086,0.003,0.0279,-38.04,32.44,30,114.72,1,49.024425,8.356149,11.57,220.46
5000,0.4192,-0.0014,-0.0117,-0.9078,-0.34,0.34,9.65,-0.0093,0.0031,0.0289,-38.06,32.43,30,114.72,1,49.024421,8.356144,11.56,220.44
5100,0.4193,-0.0015,-0.0116,-0.9078,-0.33,0.34,9.68,-0.0103,0.0015,0.0283,-38.06,32.42,30,114.72,1,49.024417,8.356139,11.55,220.42
5200,0.4194,-0.0015,-0.0116,-0.9077,-0.31,0.34,9.7,-0.0113,0.0013,0.0287,-38.07,32.41,30,114.72,1,49.024413,8.356133,11.54,220.41
5300,0.4195,-0.0015,-0.0115,-0.9077,-0.32,0.33,9.7,-0.0112,0.002,0.0282,-38.08,32.4,30,114.72,1,49.024409,8.356128,11.54,220.39
5400,0.4197,-0.0016,-0.0115,-0.9076,-0.32,0.33,9.73,-0.0103,0.0001,0.0282,-38.09,32.39,30,114.72,1,49.024405,8.356123,11.53,220.38
5500,0.4198,-0.0016,-0.0115,-0.9075,-0.31,0.37,9.76,-0.0097,-0.0008,0.0291,-38.1,32.38,30,114.72,1,49.0244,8.356118,11.52,220.36
5600,0.42,-0.0017,-0.0115,-0.9075,-0.31,0.39,9.77,-0.0091,-0.0013,0.0289,-38.11,32.37,30,114.72,1,49.024396,8.356112,11.51,220.34
5700,0.4201,-0.0017,-0.0114,-0.9074,-0.3,0.42,9.78,-0.0091,-0.0012,0.0293,-38.12,32.35,30,114.72,1,49.024392,8.356107,11.5,220.32
5800,0.4202,-0.0017,-0.0114,-0.9073,-0.3,0.44,9.78,-0.0083,-0.0025,0.029,-38.13,32.34,30,114.72,1,49.024388,8.356102,11.49,220.31
5900,0.4203,-0.0018,-0.0114,-0.9073,-0.3,0.42,9.78,-0.0095,-0.0021,0.0284,-38.14,32.33,30,114.72,1,49.024384,8.356097,11.48,220.29
6000,0.4205,-0.0019,-0.0114,-0.9072,-0.3,0.4,9.82,-0.0094,-0.0034,0.0284,-38.15,32.32,30,114.72,1,49.02438,8.356091,11.48,220.28
6100,0.4206,-0.0019,-0.0113,-0.9072,-0.28,0.42,9.86,-0.0094,-0.0031,0.0287,-38.16,32.31,30,114.73,1,49.024376,8.356086,11.47,220.26
6200,0.4207,-0.0019,-0.0113,-0.9071,-0.27,0.44,9.88,-0.0096,-0.0021,0.0285,-38.17,32.3,30,114.73,1,49.024372,8.356081,11.46,220.24
6300,0.4208,-0.0019,-0.0112,-0.9071,-0.27,0.45,9.9,-0.0099,-0.0016,0.0286,-38.17,32.29,30,114.73,1,49.024368,8.356076,11.45,220.23
6400,0.4209,-0.0019,-0.0111,-0.907,-0.27,0.45,9.92,-0.0106,-0.0007,0.0273,-38.18,32.28,30,114.73,1,49.024364,8.35607,11.44,220.22
6500,0.421,-0.0019,-0.0111,-0.907,-0.26,0.43,9.91,-0.0111,0.0004,0.0269,-38.19,32.27,30,114.73,1,49.02436,8.356065,11.44,220.2
6600,0.4212,-0.0019,-0.011,-0.9069,-0.25,0.44,9.9,-0.0113,0.0019,0.0273,-38.2,32.26,30,114.73,1,49.024356,8.35606,11.43,220.18
6700,0.4213,-0.0019,-0.0109,-0.9069,-0.23,0.46,9.87,-0.0126,0.0026,0.0267,-38.21,32.25,30,114.73,1,49.024352,8.356055,11.42,220.17
6800,0.4214,-0.0019,-0.0108,-0.9068,-0.25,0.43,9.85,-0.0134,0.003,0.0252,-38.21,32.25,30,114.73,1,49.024348,8.35605,11.41,220.16
6900,0.4215,-0.002,-0.0107,-0.9068,-0.26,0.42,9.87,-0.0133,0.0022,0.0255,-38.22,32.24,30,114.73,1,49.024344,8.356045,11.41,220.15
7000,0.4216,-0.002,-0.0106,-0.9067,-0.26,0.43,9.87,-0.0137,0.0033,0.0258,-38.23,32.23,30,114.73,1,49.02434,8.356039,11.4,220.13
7100,0.4217,-0.0019,-0.0105,-0.9067,-0.25,0.46,9.85,-0.0139,0.0053,0.025,-38.24,32.22,30,114.74,1,49.024335,8.356034,11.39,220.12
7200,0.4218,-0.0019,-0.0104,-0.9066,-0.25,0.44,9.81,-0.0153,0.0054,0.0246,-38.24,32.21,30,114.74,1,49.024331,8.356029,11.38,220.11
7300,0.422,-0.002,-0.0103,-0.9065,-0.25,0.36,9.8,-0.0157,0.0056,0.0263,-38.25,32.2,30,114.74,1,49.024327,8.356024,11.38,220.09
7400,0.4221,-0.002,-0.0103,-0.9065,-0.27,0.3,9.8,-0.0155,0.0056,0.026,-38.26,32.19,30,114.74,1,49.024323,8.356019,11.37,220.07
7500,0.4222,-0.0019,-0.0102,-0.9064,-0.29,0.31,9.77,-0.0136,0.0059,0.026,-38.27,32.18,30,114.74,1,49.024319,8.356014,11.36,220.06
