ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz,alt,gps_fix,lat,lon,speed,heading
0,0.0618,0.0123,0.0009,0.998,1.09,-1.89,9.66,-0.0185,-0.0068,-0.3277,6.17,49.62,30,115.47,1,49.024457,8.356105,10.17,277.09
100,0.0634,0.0123,0.0009,0.9979,1.05,-1.85,9.77,-0.0172,-0.007,-0.3261,6.33,49.6,30,115.47,1,49.024458,8.356098,10.19,277.27
200,0.065,0.0124,0.0008,0.9978,1.03,-1.73,9.84,-0.0169,-0.0081,-0.3252,6.48,49.58,30,115.47,1,49.024458,8.356091,10.2,277.45
300,0.0665,0.0125,0.0007,0.9977,1.09,-1.65,9.92,-0.0182,-0.0094,-0.3232,6.64,49.56,30,115.47,1,49.024459,8.356084,10.22,277.63
400,0.0681,0.0125,0.0005,0.9976,1.15,-1.63,10.01,-0.0204,-0.0097,-0.3222,6.8,49.54,30,115.47,1,49.024459,8.356077,10.24,277.81
500,0.0697,0.0125,0.0004,0.9975,1.18,-1.63,10.05,-0.0218,-0.0078,-0.3229,6.96,49.51,30,115.47,1,49.02446,8.356069,10.25,278.0
600,0.0714,0.0125,0.0003,0.9974,1.2,-1.6,10.03,-0.0219,-0.006,-0.324,7.12,49.49,30,115.47,1,49.02446,8.356062,10.27,278.19
700,0.073,0.0125,0.0002,0.9973,1.2,-1.65,10.05,-0.023,-0.0056,-0.3239,7.28,49.47,30,115.47,1,49.024461,8.356055,10.29,278.37
800,0.0746,0.0125,0.0001,0.9971,1.19,-1.66,10.09,-0.0228,-0.0051,-0.325,7.44,49.44,30,115.47,1,49.024461,8.356048,10.31,278.56
900,0.0763,0.0124,0.0001,0.997,1.16,-1.6,10.05,-0.0207,-0.003,-0.325,7.61,49.42,30,115.48,1,49.024462,8.35604,10.33,278.75
1000,0.078,0.0124,0.0,0.9969,1.14,-1.53,10.0,-0.02,-0.0017,-0.3275,7.77,49.39,30,115.48,1,49.024462,8.356033,10.34,278.95
1100,0.0797,0.0124,-0.0001,0.9967,1.16,-1.52,9.97,-0.0203,-0.0028,-0.3302,7.95,49.36,30,115.48,1,49.024463,8.356026,10.36,279.14
1200,0.0814,0.0124,-0.0001,0.9966,1.2,-1.55,9.9,-0.02,-0.0013,-0.3323,8.12,49.34,30,115.48,1,49.024464,8.356019,10.38,279.34
1300,0.0831,0.0123,-0.0002,0.9965,1.22,-1.61,9.82,-0.0196,-0.0007,-0.3341,8.28,49.31,30,115.48,1,49.024464,8.356011,10.4,279.54
1400,0.0848,0.0124,-0.0002,0.9963,1.22,-1.67,9.81,-0.0182,-0.0027,-0.3359,8.46,49.28,30,115.48,1,49.024465,8.356004,10.41,279.74
1500,0.0866,0.0124,-0.0002,0.9962,1.22,-1.69,9.8,-0.0158,-0.0026,-0.3382,8.63,49.25,30,115.48,1,49.024465,8.355997,10.43,279.94
1600,0.0884,0.0124,-0.0002,0.996,1.18,-1.67,9.79,-0.0143,-0.002,-0.3406,8.8,49.22,30,115.48,1,49.024466,8.355989,10.45,280.14
1700,0.0901,0.0125,-0.0002,0.9959,1.16,-1.63,9.81,-0.0128,-0.0031,-0.3434,8.98,49.19,30,115.48,1,49.024467,8.355982,10.47,280.35
1800,0.0919,0.0125,-0.0004,0.9957,1.15,-1.63,9.84,-0.016,-0.0035,-0.3446,9.15,49.16,30,115.48,1,49.024467,8.355975,10.48,280.55
1900,0.0937,0.0124,-0.0005,0.9955,1.1,-1.64,9.86,-0.0181,-0.0025,-0.3471,9.33,49.12,30,115.48,1,49.024468,8.355967,10.5,280.75
2000,0.0955,0.0124,-0.0007,0.9954,1.11,-1.66,9.88,-0.0208,-0.0024,-0.3481,9.5,49.09,30,115.48,1,49.024469,8.35596,10.51,280.96
