ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz,alt,gps_fix,lat,lon,speed,heading
0,0.316,0.0155,0.0146,0.9485,0.46,0.38,9.91,-0.0035,-0.0028,-0.0,30.0,40.0,30,117.52,1,49.024957,8.355059,23.28,306.88
100,0.316,0.0155,0.0146,0.9485,0.46,0.44,9.86,-0.0033,-0.0026,-0.0001,30.0,40.0,30,117.52,1,49.024964,8.355046,23.29,306.88
200,0.316,0.0155,0.0146,0.9485,0.5,0.42,9.85,-0.0037,-0.004,0.0003,30.0,40.0,30,117.53,1,49.02497,8.355033,23.29,306.88
300,0.316,0.0155,0.0145,0.9485,0.49,0.38,9.84,-0.004,-0.0043,0.0001,30.0,40.0,30,117.53,1,49.024977,8.35502,23.3,306.88
400,0.3161,0.0155,0.0145,0.9485,0.47,0.37,9.76,-0.0029,-0.0044,-0.0009,30.01,39.99,30,117.53,1,49.024983,8.355006,23.3,306.88
500,0.3161,0.0157,0.0145,0.9485,0.48,0.31,9.77,-0.0024,-0.008,-0.0012,30.01,39.99,30,117.54,1,49.02499,8.354993,23.31,306.88
600,0.3161,0.0158,0.0145,0.9485,0.46,0.3,9.77,-0.0017,-0.0094,-0.001,30.01,39.99,30,117.54,1,49.024996,8.35498,23.31,306.88
700,0.3161,0.0158,0.0145,0.9485,0.46,0.32,9.7,-0.001,-0.0082,-0.0008,30.01,39.99,30,117.55,1,49.025003,8.354967,23.32,306.88
800,0.3161,0.0159,0.0144,0.9485,0.49,0.34,9.64,-0.0013,-0.0118,-0.0011,30.01,39.99,30,117.55,1,49.025009,8.354954,23.33,306.89
900,0.3161,0.016,0.0144,0.9485,0.52,0.31,9.62,-0.0014,-0.0136,0.0003,30.01,39.99,30,117.55,1,49.025016,8.354941,23.33,306.88
1000,0.3161,0.0161,0.0144,0.9485,0.49,0.28,9.63,-0.0012,-0.0142,-0.0002,30.01,39.99,30,117.56,1,49.025022,8.354927,23.34,306.88
1100,0.3161,0.0163,0.0143,0.9485,0.48,0.23,9.61,-0.0005,-0.0167,0.0007,30.01,39.99,30,117.56,1,49.025029,8.354914,23.34,306.88
1200,0.3161,0.0165,0.0143,0.9485,0.53,0.23,9.72,0.0009,-0.0211,0.0004,30.01,39.99,30,117.56,1,49.025035,8.354901,23.35,306.89
1300,0.3161,0.0166,0.0143,0.9485,0.52,0.28,9.72,0.0025,-0.019,0.0011,30.01,39.99,30,117.57,1,49.025042,8.354888,23.36,306.88
1400,0.3161,0.0167,0.0143,0.9485,0.5,0.34,9.7,0.0032,-0.0209,0.0002,30.01,39.99,30,117.57,1,49.025048,8.354875,23.36,306.89
1500,0.3161,0.017,0.0142,0.9485,0.55,0.28,9.79,0.0015,-0.0257,0.0,30.01,39.99,30,117.57,1,49.025055,8.354861,23.37,306.89
1600,0.3161,0.0171,0.0142,0.9485,0.58,0.21,9.91,0.0018,-0.0248,0.0011,30.01,39.99,30,117.58,1,49.025061,8.354848,23.38,306.88
1700,0.316,0.0171,0.0142,0.9485,0.58,0.2,9.98,0.0037,-0.0228,0.0013,30.01,39.99,30,117.58,1,49.025068,8.354835,23.38,306.88
1800,0.3161,0.0173,0.0143,0.9485,0.59,0.22,10.08,0.0067,-0.024,0.001,30.01,39.99,30,117.58,1,49.025074,8.354822,23.39,306.89
1900,0.316,0.0174,0.0144,0.9485,0.6,0.34,10.08,0.0093,-0.0216,0.0012,30.01,39.99,30,117.59,1,49.025081,8.354809,23.4,306.88
2000,0.3161,0.0173,0.0144,0.9485,0.58,0.41,9.99,0.0082,-0.0169,0.0008,30.01,39.99,30,117.59,1,49.025087,8.354795,23.4,306.88
2100,0.3161,0.0175,0.0144,0.9485,0.57,0.35,10.0,0.0062,-0.0185,0.0007,30.01,39.99,30,117.59,1,49.025094,8.354782,23.41,306.89
2200,0.3161,0.0176,0.0143,0.9485,0.64,0.26,10.12,0.0049,-0.0208,0.0003,30.01,39.99,30,117.59,1,49.0251,8.354769,23.42,306.89
2300,0.3161,0.0176,0.0144,0.9485,0.65,0.35,10.11,0.0072,-0.0172,0.0005,30.01,39.99,30,117.6,1,49.025107,8.354756,23.43,306.89
2400,0.3161,0.0176,0.0144,0.9485,0.62,0.49,10.03,0.0068,-0.0142,0.0003,30.01,39.99,30,117.6,1,49.025113,8.354743,23.44,306.89
2500,0.3161,0.0177,0.0143,0.9485,0.65,0.44,10.08,0.0031,-0.0148,0.0002,30.01,39.99,30,117.6,1,49.02512,8.354729,23.44,306.89
2600,0.3161,0.0177,0.0143,0.9485,0.67,0.33,10.14,0.0016,-0.0129,-0.0005,30.01,39.99,30,117.61,1,49.025126,8.354716,23.45,306.89
2700,0.3161,0.0176,0.0143,0.9484,0.67,0.34,10.11,0.0021,-0.009,-0.0008,30.02,39.99,30,117.61,1,49.025133,8.354703,23.46,306.89
2800,0.3161,0.0176,0.0143,0.9484,0.68,0.41,10.07,0.0016,-0.0079,-0.0008,30.02,39.99,30,117.61,1,49.02514,8.35469,23.47,306.89
2900,0.3161,0.0176,0.0143,0.9484,0.7,0.39,10.14,0.0007,-0.0073,-0.0008,30.02,39.99,30,117.61,1,49.025146,8.354676,23.48,306.89
3000,0.3161,0.0176,0.0143,0.9484,0.7,0.39,10.19,0.0008,-0.0046,-0.0007,30.02,39.99,30,117.62,1,49.025153,8.354663,23.49,306.89
3100,0.3161,0.0175,0.0144,0.9485,0.7,0.43,10.15,0.0017,-0.0013,-0.0,30.02,39.99,30,117.62,1,49.025159,8.35465,23.5,306.89
3200,0.3167,0.016,0.0146,0.9483,0.57,0.38,9.74,-0.0043,0.0195,-0.0078,30.06,39.96,30,117.69,1,49.025166,8.354637,23.6,306.95
3300,0.3164,0.0166,0.0146,0.9484,0.64,0.35,9.85,-0.0023,0.0177,-0.0061,30.04,39.97,30,117.66,1,49.025172,8.354623,23.56,306.93
3400,0.3165,0.0165,0.0146,0.9484,0.61,0.36,9.78,-0.0027,0.0183,-0.0057,30.04,39.97,30,117.67,1,49.025179,8.35461,23.57,306.93
3500,0.3165,0.0164,0.0145,0.9483,0.59,0.33,9.77,-0.0038,0.0182,-0.0057,30.04,39.97,30,117.67,1,49.025186,8.354597,23.58,306.93
3600,0.3166,0.0163,0.0146,0.9483,0.59,0.35,9.79,-0.0032,0.0177,-0.0065,30.05,39.96,30,117.68,1,49.025192,8.354583,23.59,306.94
3700,0.3166,0.0161,0.0146,0.9483,0.56,0.37,9.73,-0.003,0.0203,-0.0073,30.05,39.96,30,117.69,1,49.025199,8.35457,23.59,306.95
3800,0.3167,0.016,0.0146,0.9483,0.57,0.38,9.74,-0.0043,0.0195,-0.0078,30.06,39.96,30,117.69,1,49.025205,8.354557,23.6,306.95
3900,0.3164,0.0166,0.0146,0.9484,0.64,0.35,9.85,-0.0023,0.0177,-0.0061,30.04,39.97,30,117.66,1,49.025212,8.354543,23.56,306.93
4000,0.3165,0.0165,0.0146,0.9484,0.61,0.36,9.78,-0.0027,0.0183,-0.0057,30.04,39.97,30,117.67,1,49.025218,8.35453,23.57,306.93
4100,0.3165,0.0164,0.0145,0.9483,0.59,0.33,9.77,-0.0038,0.0182,-0.0057,30.04,39.97,30,117.67,1,49.025225,8.354517,23.58,306.93
4200,0.3166,0.0163,0.0146,0.9483,0.59,0.35,9.79,-0.0032,0.0177,-0.0065,30.05,39.96,30,117.68,1,49.025232,8.354504,23.59,306.94
4300,0.3166,0.0161,0.0146,0.9483,0.56,0.37,9.73,-0.003,0.0203,-0.0073,30.05,39.96,30,117.69,1,49.025238,8.35449,23.59,306.95
4400,0.3167,0.016,0.0146,0.9483,0.57,0.38,9.74,-0.0043,0.0195,-0.0078,30.06,39.96,30,117.69,1,49.025245,8.354477,23.6,306.95
4500,0.3167,0.0159,0.0146,0.9483,0.58,0.37,9.68,-0.0062,0.0196,-0.0071,30.06,39.95,30,117.7,1,49.025251,8.354464,23.61,306.96
4600,0.3167,0.0157,0.0145,0.9483,0.55,0.41,9.66,-0.0073,0.0217,-0.008,30.07,39.95,30,117.7,1,49.025258,8.35445,23.62,306.96
4700,0.3168,0.0156,0.0145,0.9483,0.53,0.42,9.57,-0.0088,0.0211,-0.0069,30.07,39.95,30,117.71,1,49.025265,8.354437,23.62,306.96
4800,0.3168,0.0156,0.0144,0.9482,0.59,0.37,9.57,-0.0104,0.0167,-0.0082,30.07,39.95,30,117.72,1,49.025271,8.354424,23.63,306.97
4900,0.3169,0.0155,0.0144,0.9482,0.62,0.3,9.6,-0.0109,0.0172,-0.0078,30.07,39.94,30,117.72,1,49.025278,8.35441,23.64,306.98
5000,0.3169,0.0154,0.0145,0.9482,0.61,0.35,9.51,-0.0079,0.0193,-0.0093,30.08,39.94,30,117.73,1,49.025284,8.354397,23.65,306.99
5100,0.317,0.0153,0.0145,0.9482,0.61,0.38,9.49,-0.0066,0.0172,-0.0104,30.09,39.93,30,117.74,1,49.025291,8.354384,23.66,307.0
5200,0.317,0.0153,0.0145,0.9482,0.6,0.35,9.44,-0.0064,0.0163,-0.0093,30.09,39.93,30,117.74,1,49.025298,8.35437,23.66,307.0
5300,0.3171,0.0152,0.0145,0.9481,0.6,0.29,9.42,-0.0061,0.0172,-0.0106,30.1,39.93,30,117.74,1,49.025304,8.354357,23.67,307.01
5400,0.3172,0.0151,0.0145,0.9481,0.58,0.23,9.45,-0.0054,0.0153,-0.0103,30.1,39.92,30,117.75,1,49.025311,8.354344,23.68,307.01
