ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz,alt,gps_fix,lat,lon,speed,heading
0,0.3204,0.0091,0.0143,0.9471,0.19,0.2,10.47,-0.007,-0.0266,-0.0072,30.36,39.73,30,120.12,1,49.025682,8.353616,26.58,307.38
100,0.3204,0.0091,0.0143,0.9471,0.2,0.2,10.49,-0.0055,-0.0218,-0.0067,30.36,39.73,30,120.12,1,49.02569,8.353601,26.59,307.39
200,0.3204,0.009,0.0144,0.9471,0.12,0.18,10.49,-0.0043,-0.0161,-0.0059,30.36,39.73,30,120.12,1,49.025697,8.353586,26.59,307.39
300,0.3204,0.009,0.0143,0.9471,0.14,0.08,10.52,-0.0045,-0.0139,-0.0061,30.36,39.73,30,120.12,1,49.025705,8.353571,26.59,307.39
400,0.3204,0.009,0.0144,0.9471,0.2,0.1,10.54,-0.0023,-0.0119,-0.0054,30.36,39.73,30,120.12,1,49.025712,8.353556,26.59,307.39
500,0.3204,0.0088,0.0145,0.9471,0.2,0.19,10.48,-0.0003,-0.0032,-0.0052,30.36,39.72,30,120.12,1,49.02572,8.353541,26.59,307.39
600,0.3204,0.0087,0.0145,0.9471,0.19,0.18,10.37,-0.0012,0.0015,-0.0035,30.36,39.73,30,120.12,1,49.025727,8.353527,26.59,307.39
700,0.3204,0.0087,0.0145,0.9471,0.25,0.12,10.47,-0.0009,0.0003,-0.0038,30.36,39.73,30,120.13,1,49.025735,8.353512,26.6,307.39
800,0.3204,0.0085,0.0146,0.9471,0.24,0.07,10.44,0.001,0.0086,-0.0025,30.36,39.73,30,120.13,1,49.025742,8.353497,26.6,307.39
900,0.3204,0.0082,0.0148,0.9471,0.16,0.06,10.3,0.0021,0.0164,-0.0018,30.36,39.73,30,120.13,1,49.02575,8.353482,26.6,307.39
1000,0.3204,0.0082,0.0148,0.9471,0.15,0.11,10.26,0.003,0.015,-0.0022,30.36,39.73,30,120.13,1,49.025757,8.353467,26.6,307.39
1100,0.3204,0.0079,0.015,0.9471,0.17,0.16,10.12,0.0038,0.0217,-0.0011,30.36,39.73,30,120.13,1,49.025765,8.353452,26.6,307.38
1200,0.3204,0.0076,0.015,0.9471,0.14,0.17,9.91,0.0026,0.0272,-0.0009,30.36,39.73,30,120.13,1,49.025772,8.353437,26.61,307.38
1300,0.3204,0.0076,0.015,0.9471,0.16,0.11,9.94,0.0011,0.0229,-0.0002,30.36,39.73,30,120.13,1,49.02578,8.353422,26.61,307.38
