ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz,alt,gps_fix,lat,lon,speed,heading
0,0.3449,-0.0087,0.0291,0.9381,-0.71,0.96,10.34,-0.0014,-0.0132,-0.0057,32.35,38.12,30,118.5,1,49.026474,8.352097,25.95,310.32
100,0.3449,-0.0088,0.0288,0.9381,-0.68,0.92,10.24,-0.008,-0.0115,-0.0051,32.36,38.12,30,118.5,1,49.026482,8.352083,25.95,310.32
200,0.345,-0.0088,0.0286,0.9381,-0.64,0.73,10.28,-0.0136,-0.0101,-0.0064,32.36,38.12,30,118.49,1,49.02649,8.352069,25.94,310.33
300,0.345,-0.0089,0.0285,0.9381,-0.69,0.7,10.42,-0.0144,-0.0084,-0.006,32.36,38.11,30,118.49,1,49.026498,8.352055,25.94,310.33
400,0.345,-0.0091,0.0285,0.9381,-0.72,0.91,10.32,-0.0153,-0.0011,-0.0068,32.37,38.11,30,118.49,1,49.026506,8.352041,25.93,310.34
500,0.3451,-0.0093,0.0283,0.9381,-0.62,0.99,10.04,-0.0216,0.0027,-0.007,32.37,38.11,30,118.48,1,49.026513,8.352027,25.93,310.34
600,0.3451,-0.0094,0.0279,0.9381,-0.57,0.76,10.08,-0.0307,0.0004,-0.0077,32.37,38.11,30,118.48,1,49.026521,8.352014,25.92,310.35
700,0.3452,-0.0097,0.0277,0.9381,-0.65,0.62,10.12,-0.0344,0.0056,-0.0089,32.38,38.1,30,118.48,1,49.026529,8.352,25.92,310.36
800,0.3453,-0.01,0.0276,0.938,-0.69,0.63,9.9,-0.0353,0.0131,-0.0098,32.38,38.1,30,118.47,1,49.026537,8.351986,25.91,310.37
900,0.3454,-0.0101,0.0273,0.938,-0.65,0.52,9.76,-0.0385,0.0099,-0.0117,32.39,38.09,30,118.47,1,49.026545,8.351972,25.91,310.38
1000,0.3454,-0.0101,0.0271,0.938,-0.61,0.38,9.83,-0.0387,0.0056,-0.0113,32.4,38.09,30,118.46,1,49.026552,8.351958,25.9,310.38
1100,0.3454,-0.0103,0.0271,0.938,-0.66,0.38,9.76,-0.0364,0.0128,-0.0107,32.4,38.08,30,118.46,1,49.02656,8.351944,25.9,310.39
1200,0.3455,-0.0105,0.027,0.938,-0.71,0.37,9.57,-0.0339,0.0139,-0.0107,32.4,38.08,30,118.46,1,49.026568,8.35193,25.89,310.39
1300,0.3456,-0.0104,0.0268,0.938,-0.65,0.27,9.62,-0.032,0.0065,-0.0117,32.41,38.08,30,118.45,1,49.026576,8.351916,25.88,310.4
1400,0.3456,-0.0105,0.0269,0.9379,-0.65,0.19,9.65,-0.0276,0.0087,-0.0104,32.41,38.07,30,118.45,1,49.026584,8.351903,25.88,310.4
1500,0.3456,-0.0106,0.0269,0.9379,-0.68,0.18,9.59,-0.0227,0.0117,-0.0099,32.41,38.07,30,118.44,1,49.026592,8.351889,25.87,310.41
1600,0.3457,-0.0105,0.0269,0.9379,-0.65,0.22,9.7,-0.0198,0.007,-0.0103,32.42,38.07,30,118.44,1,49.026599,8.351875,25.87,310.42
1700,0.3457,-0.0107,0.0269,0.9379,-0.66,0.25,9.73,-0.0181,0.011,-0.0097,32.42,38.07,30,118.44,1,49.026607,8.351861,25.86,310.42
1800,0.3457,-0.0109,0.0269,0.9379,-0.71,0.22,9.64,-0.0176,0.0167,-0.0093,32.42,38.06,30,118.43,1,49.026615,8.351847,25.85,310.42
1900,0.3457,-0.011,0.0268,0.9379,-0.69,0.18,9.61,-0.0175,0.0139,-0.0085,32.42,38.06,30,118.43,1,49.026623,8.351833,25.85,310.42
2000,0.3458,-0.011,0.0268,0.9379,-0.63,0.21,9.7,-0.0156,0.013,-0.0083,32.42,38.06,30,118.42,1,49.026631,8.351819,25.84,310.43
2100,0.3458,-0.0113,0.0268,0.9379,-0.66,0.26,9.67,-0.0155,0.019,-0.0084,32.43,38.06,30,118.42,1,49.026638,8.351806,25.84,310.43
2200,0.3458,-0.0113,0.0268,0.9378,-0.67,0.3,9.68,-0.0158,0.017,-0.0085,32.43,38.06,30,118.41,1,49.026646,8.351792,25.83,310.44
2300,0.3459,-0.0115,0.0267,0.9378,-0.66,0.29,9.75,-0.0179,0.0167,-0.008,32.43,38.05,30,118.41,1,49.026654,8.351778,25.83,310.44
2400,0.3459,-0.0118,0.0267,0.9378,-0.67,0.22,9.7,-0.0183,0.0224,-0.0089,32.44,38.05,30,118.41,1,49.026662,8.351764,25.82,310.45
2500,0.346,-0.0119,0.0266,0.9378,-0.67,0.19,9.71,-0.0185,0.0217,-0.0084,32.44,38.05,30,118.4,1,49.02667,8.35175,25.82,310.45
2600,0.346,-0.012,0.0266,0.9378,-0.67,0.21,9.78,-0.0169,0.0206,-0.0086,32.44,38.05,30,118.4,1,49.026678,8.351736,25.81,310.45
2700,0.346,-0.0122,0.0267,0.9378,-0.69,0.23,9.71,-0.0147,0.0254,-0.0087,32.45,38.04,30,118.39,1,49.026685,8.351723,25.8,310.46
2800,0.346,-0.0123,0.0266,0.9378,-0.69,0.2,9.68,-0.0149,0.0249,-0.0072,32.44,38.04,30,118.39,1,49.026693,8.351709,25.8,310.46
2900,0.3461,-0.0124,0.0266,0.9377,-0.67,0.16,9.75,-0.0128,0.0224,-0.008,32.45,38.04,30,118.39,1,49.026701,8.351695,25.79,310.47
3000,0.3461,-0.0126,0.0267,0.9377,-0.71,0.21,9.75,-0.012,0.0254,-0.0072,32.45,38.04,30,118.38,1,49.026709,8.351681,25.79,310.47
3100,0.3461,-0.0128,0.0267,0.9377,-0.77,0.22,9.61,-0.0119,0.0284,-0.0055,32.45,38.04,30,118.38,1,49.026717,8.351667,25.78,310.46
3200,0.3461,-0.0128,0.0266,0.9377,-0.76,0.16,9.63,-0.0131,0.0234,-0.0055,32.45,38.04,30,118.37,1,49.026724,8.351654,25.77,310.47
3300,0.3461,-0.013,0.0266,0.9377,-0.73,0.14,9.6,-0.0122,0.0244,-0.0058,32.45,38.04,30,118.37,1,49.026732,8.35164,25.77,310.47
3400,0.3461,-0.0132,0.0266,0.9377,-0.78,0.19,9.46,-0.0119,0.028,-0.0049,32.45,38.04,30,118.36,1,49.02674,8.351626,25.76,310.47
3500,0.3462,-0.0132,0.0266,0.9377,-0.79,0.15,9.48,-0.0117,0.0216,-0.0051,32.45,38.04,30,118.36,1,49.026748,8.351612,25.75,310.47
3600,0.3462,-0.0132,0.0266,0.9377,-0.76,0.15,9.48,-0.0103,0.0181,-0.0058,32.46,38.03,30,118.36,1,49.026756,8.351599,25.75,310.48
3700,0.3462,-0.0134,0.0266,0.9377,-0.79,0.23,9.36,-0.0082,0.0218,-0.0044,32.46,38.03,30,118.35,1,49.026763,8.351585,25.74,310.48
3800,0.3462,-0.0134,0.0266,0.9377,-0.84,0.21,9.3,-0.0078,0.0184,-0.0037,32.46,38.03,30,118.35,1,49.026771,8.351571,25.73,310.48
3900,0.3462,-0.0132,0.0266,0.9377,-0.79,0.09,9.45,-0.0065,0.0103,-0.0033,32.46,38.03,30,118.34,1,49.026779,8.351557,25.72,310.48
4000,0.3462,-0.0133,0.0267,0.9377,-0.79,0.11,9.5,-0.0032,0.0132,-0.0029,32.46,38.03,30,118.34,1,49.026787,8.351544,25.71,310.48
4100,0.3462,-0.0134,0.0268,0.9377,-0.83,0.18,9.4,0.001,0.0135,-0.0036,32.46,38.03,30,118.34,1,49.026795,8.35153,25.71,310.48
4200,0.3463,-0.0131,0.0268,0.9377,-0.75,0.18,9.48,0.0031,0.0053,-0.0039,32.46,38.03,30,118.33,1,49.026802,8.351516,25.7,310.49
4300,0.3463,-0.0131,0.0269,0.9376,-0.7,0.19,9.55,0.0065,0.0048,-0.0039,32.46,38.03,30,118.33,1,49.02681,8.351502,25.69,310.49
4400,0.3463,-0.0132,0.0271,0.9376,-0.73,0.18,9.52,0.0095,0.0094,-0.0046,32.47,38.02,30,118.32,1,49.026818,8.351489,25.69,310.49
4500,0.3464,-0.0131,0.0272,0.9376,-0.73,0.2,9.56,0.0127,0.0042,-0.0048,32.47,38.02,30,118.32,1,49.026826,8.351475,25.68,310.5
4600,0.3464,-0.013,0.0273,0.9376,-0.71,0.24,9.64,0.0142,0.0031,-0.0045,32.47,38.02,30,118.32,1,49.026834,8.351461,25.68,310.5
4700,0.3464,-0.0132,0.0275,0.9376,-0.73,0.27,9.56,0.0152,0.0088,-0.006,32.48,38.02,30,118.31,1,49.026841,8.351448,25.67,310.51
4800,0.3465,-0.0131,0.0276,0.9376,-0.77,0.3,9.55,0.0156,0.006,-0.0066,32.48,38.01,30,118.31,1,49.026849,8.351434,25.66,310.51
4900,0.3465,-0.013,0.0275,0.9376,-0.77,0.31,9.63,0.0145,0.0016,-0.0051,32.48,38.01,30,118.3,1,49.026857,8.35142,25.66,310.51
5000,0.3465,-0.0131,0.0276,0.9375,-0.79,0.35,9.56,0.0141,0.0053,-0.0064,32.48,38.01,30,118.3,1,49.026865,8.351407,25.65,310.52
5100,0.3466,-0.0131,0.0276,0.9375,-0.81,0.41,9.56,0.0115,0.0035,-0.007,32.49,38.01,30,118.29,1,49.026873,8.351393,25.64,310.52
5200,0.3466,-0.013,0.0275,0.9375,-0.81,0.44,9.66,0.0082,-0.0009,-0.0069,32.49,38.0,30,118.29,1,49.02688,8.351379,25.63,310.53
5300,0.3466,-0.0131,0.0275,0.9375,-0.84,0.46,9.72,0.0041,0.0023,-0.0068,32.49,38.0,30,118.28,1,49.026888,8.351365,25.63,310.53
5400,0.3467,-0.0131,0.0274,0.9375,-0.84,0.45,9.73,0.0003,0.0006,-0.0074,32.5,38.0,30,118.28,1,49.026896,8.351352,25.62,310.54
5500,0.3467,-0.013,0.0272,0.9375,-0.79,0.43,9.84,-0.0031,-0.0025,-0.0064,32.5,38.0,30,118.28,1,49.026904,8.351338,25.61,310.54
5600,0.3467,-0.0131,0.0272,0.9375,-0.79,0.46,9.88,-0.0033,0.0014,-0.007,32.5,38.0,30,118.27,1,49.026912,8.351324,25.6,310.54
5700,0.3468,-0.0133,0.0272,0.9375,-0.84,0.51,9.83,-0.0043,0.0043,-0.0066,32.5,37.99,30,118.27,1,49.026919,8.351311,25.6,310.55
5800,0.3468,-0.0132,0.0271,0.9374,-0.84,0.45,9.87,-0.0061,0.0008,-0.0077,32.51,37.99,30,118.26,1,49.026927,8.351297,25.59,310.55
5900,0.3469,-0.0132,0.0271,0.9374,-0.82,0.37,9.9,-0.0065,0.0012,-0.0078,32.51,37.99,30,118.26,1,49.026935,8.351283,25.58,310.56
6000,0.3469,-0.0133,0.0271,0.9374,-0.85,0.36,9.83,-0.0052,0.0038,-0.0069,32.51,37.99,30,118.25,1,49.026943,8.35127,25.57,310.56
6100,0.3469,-0.0133,0.0271,0.9374,-0.86,0.38,9.81,-0.0045,0.0021,-0.007,32.51,37.98,30,118.25,1,49.02695,8.351256,25.56,310.56
6200,0.347,-0.0133,0.027,0.9374,-0.85,0.41,9.78,-0.0051,0.0003,-0.0073,32.52,37.98,30,118.25,1,49.026958,8.351243,25.56,310.57
6300,0.347,-0.0134,0.027,0.9374,-0.88,0.4,9.64,-0.0073,0.002,-0.0066,32.52,37.98,30,118.24,1,49.026966,8.351229,25.55,310.57
6400,0.347,-0.0133,0.0268,0.9374,-0.91,0.35,9.54,-0.009,-0.0007,-0.0074,32.52,37.98,30,118.24,1,49.026974,8.351215,25.54,310.58
6500,0.347,-0.0132,0.0268,0.9374,-0.95,0.29,9.52,-0.0092,-0.0042,-0.0066,32.53,37.98,30,118.23,1,49.026981,8.351202,25.53,310.58
6600,0.3471,-0.0132,0.0267,0.9374,-1.0,0.3,9.47,-0.009,-0.0061,-0.0072,32.53,37.97,30,118.23,1,49.026989,8.351188,25.52,310.59
