ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz,alt,gps_fix,lat,lon,speed,heading
0,0.3974,-0.0121,0.0239,0.9173,-0.57,-0.72,9.91,0.0002,0.0203,-0.0763,36.45,34.22,30,117.12,1,49.02673,8.351671,22.85,316.81
100,0.3978,-0.0121,0.0241,0.9171,-0.58,-0.72,9.95,0.0037,0.02,-0.0771,36.48,34.19,30,117.12,1,49.026737,8.35166,22.84,316.85
200,0.3981,-0.0121,0.0242,0.9169,-0.54,-0.79,10.12,0.0072,0.0166,-0.0773,36.51,34.16,30,117.12,1,49.026745,8.351649,22.84,316.9
300,0.3985,-0.0121,0.0244,0.9168,-0.55,-0.74,10.28,0.0125,0.0188,-0.0784,36.54,34.13,30,117.11,1,49.026753,8.351638,22.84,316.95
400,0.3989,-0.0125,0.0247,0.9166,-0.56,-0.47,10.14,0.0158,0.0282,-0.0791,36.56,34.1,30,117.11,1,49.026761,8.351627,22.83,316.99
500,0.3993,-0.0128,0.0248,0.9164,-0.46,-0.32,9.83,0.0104,0.0339,-0.0804,36.59,34.07,30,117.11,1,49.026768,8.351616,22.83,317.04
600,0.3997,-0.0132,0.0247,0.9162,-0.58,-0.45,9.56,0.002,0.0391,-0.0828,36.63,34.04,30,117.1,1,49.026776,8.351605,22.83,317.1
700,0.4001,-0.0133,0.0246,0.916,-0.68,-0.77,9.28,-0.003,0.0346,-0.084,36.66,34.01,30,117.1,1,49.026784,8.351594,22.82,317.15
800,0.4005,-0.0131,0.0245,0.9159,-0.45,-1.08,9.16,0.0,0.0219,-0.0827,36.68,33.98,30,117.09,1,49.026791,8.351583,22.82,317.19
900,0.4009,-0.013,0.0249,0.9157,-0.39,-1.11,9.25,0.0116,0.0199,-0.0845,36.71,33.94,30,117.09,1,49.026799,8.351572,22.82,317.25
1000,0.4013,-0.0131,0.0254,0.9155,-0.73,-0.76,9.41,0.021,0.0267,-0.0853,36.74,33.91,30,117.09,1,49.026807,8.351561,22.82,317.3
1100,0.4017,-0.0132,0.0255,0.9153,-0.89,-0.38,9.39,0.0221,0.0245,-0.0861,36.77,33.88,30,117.08,1,49.026815,8.35155,22.81,317.35
1200,0.4021,-0.0132,0.0253,0.9152,-0.65,-0.53,9.24,0.0129,0.0189,-0.085,36.8,33.85,30,117.08,1,49.026822,8.351539,22.8,317.39
1300,0.4025,-0.0133,0.0253,0.915,-0.55,-0.9,9.32,0.0082,0.0192,-0.0862,36.83,33.81,30,117.07,1,49.02683,8.351528,22.8,317.45
1400,0.4029,-0.0134,0.0255,0.9148,-0.74,-0.84,9.39,0.0134,0.022,-0.087,36.86,33.78,30,117.07,1,49.026838,8.351517,22.79,317.5
1500,0.4034,-0.0134,0.0256,0.9146,-0.75,-0.65,9.3,0.016,0.0181,-0.0884,36.9,33.74,30,117.06,1,49.026846,8.351506,22.79,317.55
1600,0.4038,-0.0131,0.0256,0.9144,-0.54,-0.64,9.3,0.0147,0.0067,-0.0878,36.92,33.71,30,117.06,1,49.026853,8.351495,22.78,317.6
1700,0.4042,-0.0131,0.0256,0.9142,-0.56,-0.75,9.54,0.0129,0.007,-0.0886,36.96,33.68,30,117.05,1,49.026861,8.351484,22.78,317.66
1800,0.4046,-0.0133,0.0258,0.914,-0.81,-0.73,9.62,0.0153,0.0139,-0.0896,36.99,33.64,30,117.05,1,49.026869,8.351473,22.77,317.71
1900,0.4051,-0.0132,0.0259,0.9138,-0.79,-0.73,9.54,0.0167,0.0089,-0.09,37.02,33.61,30,117.05,1,49.026877,8.351462,22.77,317.76
2000,0.4055,-0.013,0.0259,0.9136,-0.57,-0.83,9.57,0.0171,0.0003,-0.0917,37.05,33.57,30,117.04,1,49.026884,8.351451,22.76,317.82
2100,0.406,-0.013,0.0261,0.9134,-0.6,-0.83,9.55,0.021,0.0053,-0.0929,37.09,33.53,30,117.04,1,49.026892,8.351441,22.76,317.88
2200,0.4064,-0.013,0.0263,0.9132,-0.69,-0.71,9.47,0.0234,0.0065,-0.0933,37.12,33.5,30,117.03,1,49.0269,8.35143,22.75,317.93
2300,0.4069,-0.0127,0.0263,0.913,-0.62,-0.66,9.54,0.0237,-0.0032,-0.0943,37.15,33.46,30,117.03,1,49.026908,8.351419,22.75,317.99
2400,0.4073,-0.0127,0.0263,0.9128,-0.61,-0.76,9.65,0.0217,-0.0037,-0.0947,37.19,33.43,30,117.02,1,49.026916,8.351408,22.75,318.05
2500,0.4078,-0.0128,0.0265,0.9126,-0.72,-0.88,9.69,0.0219,0.0001,-0.0946,37.22,33.39,30,117.02,1,49.026923,8.351397,22.74,318.1
2600,0.4082,-0.0126,0.0265,0.9124,-0.72,-0.86,9.74,0.0231,-0.0044,-0.0948,37.25,33.35,30,117.01,1,49.026931,8.351386,22.74,318.16
2700,0.4086,-0.0125,0.0266,0.9122,-0.6,-0.79,9.76,0.0243,-0.0063,-0.0948,37.28,33.32,30,117.01,1,49.026939,8.351376,22.73,318.21
2800,0.4091,-0.0125,0.0267,0.912,-0.56,-0.8,9.74,0.0228,-0.0038,-0.0947,37.31,33.28,30,117.01,1,49.026947,8.351365,22.73,318.27
2900,0.4096,-0.0124,0.0268,0.9118,-0.54,-0.75,9.79,0.0225,-0.0063,-0.0966,37.35,33.24,30,117.0,1,49.026955,8.351354,22.73,318.33
